environment,history_length,replay_identity,frame_digest_mismatches,wrong_model_trials,vacuous_trials,rejected_trials,control_trials,control_accepted
ar25-0c556536,85,1,0,10,0,10,1,1
bp35-0a0ad940,42,1,0,10,0,10,1,1
cd82-fb555c5d,100,1,0,10,0,10,1,1
cn04-2fe56bfb,75,1,0,10,0,10,1,1
dc22-fdcac232,128,1,0,10,0,10,1,1
ft09-0d8bbf25,390,1,0,10,0,10,1,1
g50t-5849a774,130,1,0,10,0,10,1,1
ka59-38d34dbb,100,1,0,10,0,10,1,1
lf52-271a04aa,88,1,0,10,0,10,1,1
lp85-305b61c3,526,1,0,10,0,10,1,1
ls20-9607627b,129,1,0,10,0,10,1,1
m0r0-492f87ba,151,1,0,10,0,10,1,1
r11l-495a7899,60,1,0,10,0,10,1,1
re86-8af5384d,100,1,0,10,0,10,1,1
s5i5-18d95033,50,1,0,10,0,10,1,1
sb26-7fbdac44,179,1,0,10,0,10,1,1
sc25-635fd71a,64,1,0,10,0,10,1,1
sk48-d8078629,300,1,0,10,0,10,1,1
sp80-589a99af,30,1,0,10,0,10,1,1
su15-1944f8ab,90,1,0,10,0,10,1,1
tn36-ef4dde99,61,1,0,10,0,10,1,1
tr87-cd924810,128,1,0,10,0,10,1,1
tu93-0768757b,50,1,0,10,0,10,1,1
vc33-5430563c,50,1,0,10,0,10,1,1
wa30-ee6fef47,200,1,0,10,0,10,1,1
