environment,level,official_baseline_actions,derived_baseline_actions,n_participants_with_completion,exact_agreement,relative_difference
ar25-0c556536,1,32,32,9,1,0.0
ar25-0c556536,2,50,50,9,1,0.0
ar25-0c556536,3,75,75,9,1,0.0
ar25-0c556536,4,37,37,9,1,0.0
ar25-0c556536,5,89,89,9,1,0.0
ar25-0c556536,6,159,159,8,1,0.0
ar25-0c556536,7,233,233,6,1,0.0
ar25-0c556536,8,73,73,5,1,0.0
bp35-0a0ad940,1,21,21,11,1,0.0
bp35-0a0ad940,2,48,48,11,1,0.0
bp35-0a0ad940,3,44,44,11,1,0.0
bp35-0a0ad940,4,38,38,11,1,0.0
bp35-0a0ad940,5,33,33,11,1,0.0
bp35-0a0ad940,6,87,87,10,1,0.0
bp35-0a0ad940,7,86,86,9,1,0.0
bp35-0a0ad940,8,131,131,6,1,0.0
bp35-0a0ad940,9,163,163,2,1,0.0
cd82-fb555c5d,1,55,55,10,1,0.0
cd82-fb555c5d,2,8,8,10,1,0.0
cd82-fb555c5d,3,41,41,8,1,0.0
cd82-fb555c5d,4,21,21,8,1,0.0
cd82-fb555c5d,5,23,23,8,1,0.0
cd82-fb555c5d,6,23,23,8,1,0.0
cn04-2fe56bfb,1,29,29,11,1,0.0
cn04-2fe56bfb,2,54,54,9,1,0.0
cn04-2fe56bfb,3,85,85,8,1,0.0
cn04-2fe56bfb,4,300,300,6,1,0.0
cn04-2fe56bfb,5,208,208,6,1,0.0
cn04-2fe56bfb,6,113,113,6,1,0.0
dc22-fdcac232,1,59,59,10,1,0.0
dc22-fdcac232,2,102,102,10,1,0.0
dc22-fdcac232,3,67,67,10,1,0.0
dc22-fdcac232,4,98,98,9,1,0.0
dc22-fdcac232,5,324,324,6,1,0.0
dc22-fdcac232,6,578,578,4,1,0.0
ft09-0d8bbf25,1,43,43,8,1,0.0
ft09-0d8bbf25,2,12,12,7,1,0.0
ft09-0d8bbf25,3,23,23,5,1,0.0
ft09-0d8bbf25,4,28,28,4,1,0.0
ft09-0d8bbf25,5,65,65,4,1,0.0
ft09-0d8bbf25,6,37,37,4,1,0.0
g50t-5849a774,1,78,78,13,1,0.0
g50t-5849a774,2,175,175,10,1,0.0
g50t-5849a774,3,179,179,6,1,0.0
g50t-5849a774,4,230,230,4,1,0.0
g50t-5849a774,5,96,96,4,1,0.0
g50t-5849a774,6,54,54,3,1,0.0
g50t-5849a774,7,67,67,3,1,0.0
ka59-38d34dbb,1,28,28,7,1,0.0
ka59-38d34dbb,2,109,109,5,1,0.0
ka59-38d34dbb,3,51,51,5,1,0.0
ka59-38d34dbb,4,51,51,5,1,0.0
ka59-38d34dbb,5,33,33,5,1,0.0
ka59-38d34dbb,6,132,132,4,1,0.0
ka59-38d34dbb,7,326,326,3,1,0.0
lf52-271a04aa,1,32,32,11,1,0.0
lf52-271a04aa,2,81,81,8,1,0.0
lf52-271a04aa,3,60,60,8,1,0.0
lf52-271a04aa,4,71,71,8,1,0.0
lf52-271a04aa,5,205,205,8,1,0.0
lf52-271a04aa,6,148,148,8,1,0.0
lf52-271a04aa,7,244,244,8,1,0.0
lf52-271a04aa,8,109,109,8,1,0.0
lf52-271a04aa,9,164,164,8,1,0.0
lf52-271a04aa,10,225,225,4,1,0.0
lp85-305b61c3,1,17,18,40,0,0.058823529411764705
lp85-305b61c3,2,38,39,32,0,0.02631578947368421
lp85-305b61c3,3,31,43,29,0,0.3870967741935484
lp85-305b61c3,4,16,23,28,0,0.4375
lp85-305b61c3,5,41,39,23,0,-0.04878048780487805
lp85-305b61c3,6,60,60,19,1,0.0
lp85-305b61c3,7,26,57,18,0,1.1923076923076923
lp85-305b61c3,8,159,131,15,0,-0.1761006289308176
ls20-9607627b,1,22,22,11,1,0.0
ls20-9607627b,2,123,123,9,1,0.0
ls20-9607627b,3,73,73,8,1,0.0
ls20-9607627b,4,84,84,8,1,0.0
ls20-9607627b,5,96,96,8,1,0.0
ls20-9607627b,6,192,192,6,1,0.0
ls20-9607627b,7,186,186,6,1,0.0
m0r0-492f87ba,1,30,30,11,1,0.0
m0r0-492f87ba,2,111,111,9,1,0.0
m0r0-492f87ba,3,203,203,9,1,0.0
m0r0-492f87ba,4,26,26,9,1,0.0
m0r0-492f87ba,5,500,500,8,1,0.0
m0r0-492f87ba,6,237,237,7,1,0.0
r11l-495a7899,1,22,22,10,1,0.0
