metric,value
replay_units_ingested,342
replay_parse_failures,0
replay_units_matched,342
replay_units_unmatched,0
public_games_total,25
public_levels_total_from_metadata,183
derived_levels,183
human_baseline_level_coverage,1.0
exact_agreement_fraction,0.9289617486338798
median_abs_relative_difference,0.0
official_baseline_actions[ar25-0c556536][1],32
derived_baseline_actions[ar25-0c556536][1],32
official_baseline_actions[ar25-0c556536][2],50
derived_baseline_actions[ar25-0c556536][2],50
official_baseline_actions[ar25-0c556536][3],75
derived_baseline_actions[ar25-0c556536][3],75
official_baseline_actions[ar25-0c556536][4],37
derived_baseline_actions[ar25-0c556536][4],37
official_baseline_actions[ar25-0c556536][5],89
derived_baseline_actions[ar25-0c556536][5],89
official_baseline_actions[ar25-0c556536][6],159
derived_baseline_actions[ar25-0c556536][6],159
official_baseline_actions[ar25-0c556536][7],233
derived_baseline_actions[ar25-0c556536][7],233
official_baseline_actions[ar25-0c556536][8],73
derived_baseline_actions[ar25-0c556536][8],73
official_baseline_actions[bp35-0a0ad940][1],21
derived_baseline_actions[bp35-0a0ad940][1],21
official_baseline_actions[bp35-0a0ad940][2],48
derived_baseline_actions[bp35-0a0ad940][2],48
official_baseline_actions[bp35-0a0ad940][3],44
derived_baseline_actions[bp35-0a0ad940][3],44
official_baseline_actions[bp35-0a0ad940][4],38
derived_baseline_actions[bp35-0a0ad940][4],38
official_baseline_actions[bp35-0a0ad940][5],33
derived_baseline_actions[bp35-0a0ad940][5],33
official_baseline_actions[bp35-0a0ad940][6],87
derived_baseline_actions[bp35-0a0ad940][6],87
official_baseline_actions[bp35-0a0ad940][7],86
derived_baseline_actions[bp35-0a0ad940][7],86
official_baseline_actions[bp35-0a0ad940][8],131
derived_baseline_actions[bp35-0a0ad940][8],131
official_baseline_actions[bp35-0a0ad940][9],163
derived_baseline_actions[bp35-0a0ad940][9],163
official_baseline_actions[cd82-fb555c5d][1],55
derived_baseline_actions[cd82-fb555c5d][1],55
official_baseline_actions[cd82-fb555c5d][2],8
derived_baseline_actions[cd82-fb555c5d][2],8
official_baseline_actions[cd82-fb555c5d][3],41
derived_baseline_actions[cd82-fb555c5d][3],41
official_baseline_actions[cd82-fb555c5d][4],21
derived_baseline_actions[cd82-fb555c5d][4],21
official_baseline_actions[cd82-fb555c5d][5],23
derived_baseline_actions[cd82-fb555c5d][5],23
official_baseline_actions[cd82-fb555c5d][6],23
derived_baseline_actions[cd82-fb555c5d][6],23
official_baseline_actions[cn04-2fe56bfb][1],29
derived_baseline_actions[cn04-2fe56bfb][1],29
official_baseline_actions[cn04-2fe56bfb][2],54
derived_baseline_actions[cn04-2fe56bfb][2],54
official_baseline_actions[cn04-2fe56bfb][3],85
derived_baseline_actions[cn04-2fe56bfb][3],85
official_baseline_actions[cn04-2fe56bfb][4],300
derived_baseline_actions[cn04-2fe56bfb][4],300
official_baseline_actions[cn04-2fe56bfb][5],208
derived_baseline_actions[cn04-2fe56bfb][5],208
official_baseline_actions[cn04-2fe56bfb][6],113
derived_baseline_actions[cn04-2fe56bfb][6],113
official_baseline_actions[dc22-fdcac232][1],59
derived_baseline_actions[dc22-fdcac232][1],59
official_baseline_actions[dc22-fdcac232][2],102
derived_baseline_actions[dc22-fdcac232][2],102
official_baseline_actions[dc22-fdcac232][3],67
derived_baseline_actions[dc22-fdcac232][3],67
official_baseline_actions[dc22-fdcac232][4],98
derived_baseline_actions[dc22-fdcac232][4],98
official_baseline_actions[dc22-fdcac232][5],324
derived_baseline_actions[dc22-fdcac232][5],324
official_baseline_actions[dc22-fdcac232][6],578
derived_baseline_actions[dc22-fdcac232][6],578
official_baseline_actions[ft09-0d8bbf25][1],43
derived_baseline_actions[ft09-0d8bbf25][1],43
official_baseline_actions[ft09-0d8bbf25][2],12
derived_baseline_actions[ft09-0d8bbf25][2],12
official_baseline_actions[ft09-0d8bbf25][3],23
derived_baseline_actions[ft09-0d8bbf25][3],23
official_baseline_actions[ft09-0d8bbf25][4],28
derived_baseline_actions[ft09-0d8bbf25][4],28
official_baseline_actions[ft09-0d8bbf25][5],65
derived_baseline_actions[ft09-0d8bbf25][5],65
official_baseline_actions[ft09-0d8bbf25][6],37
derived_baseline_actions[ft09-0d8bbf25][6],37
official_baseline_actions[g50t-5849a774][1],78
derived_baseline_actions[g50t-5849a774][1],78
official_baseline_actions[g50t-5849a774][2],175
derived_baseline_actions[g50t-5849a774][2],175
official_baseline_actions[g50t-5849a774][3],179
derived_baseline_actions[g50t-5849a774][3],179
official_baseline_actions[g50t-5849a774][4],230
derived_baseline_actions[g50t-5849a774][4],230
official_baseline_actions[g50t-5849a774][5],96
derived_baseline_actions[g50t-5849a774][5],96
official_baseline_actions[g50t-5849a774][6],54
derived_baseline_actions[g50t-5849a774][6],54
official_baseline_actions[g50t-5849a774][7],67
derived_baseline_actions[g50t-5849a774][7],67
official_baseline_actions[ka59-38d34dbb][1],28
derived_baseline_actions[ka59-38d34dbb][1],28
official_baseline_actions[ka59-38d34dbb][2],109
derived_baseline_actions[ka59-38d34dbb][2],109
official_baseline_actions[ka59-38d34dbb][3],51
derived_baseline_actions[ka59-38d34dbb][3],51
official_baseline_actions[ka59-38d34dbb][4],51
derived_baseline_actions[ka59-38d34dbb][4],51
official_baseline_actions[ka59-38d34dbb][5],33
derived_baseline_actions[ka59-38d34dbb][5],33
official_baseline_actions[ka59-38d34dbb][6],132
derived_baseline_actions[ka59-38d34dbb][6],132
official_baseline_actions[ka59-38d34dbb][7],326
derived_baseline_actions[ka59-38d34dbb][7],326
official_baseline_actions[lf52-271a04aa][1],32
derived_baseline_actions[lf52-271a04aa][1],32
official_baseline_actions[lf52-271a04aa][2],81
derived_baseline_actions[lf52-271a04aa][2],81
official_baseline_actions[lf52-271a04aa][3],60
derived_baseline_actions[lf52-271a04aa][3],60
