environment,steps,final_state,levels_completed,terminal
ar25-0c556536,84,GAME_OVER,0,1
bp35-0a0ad940,64,GAME_OVER,0,1
cd82-fb555c5d,100,GAME_OVER,0,1
cn04-2fe56bfb,75,GAME_OVER,0,1
dc22-fdcac232,128,GAME_OVER,0,1
ft09-0d8bbf25,742,GAME_OVER,1,1
g50t-5849a774,130,GAME_OVER,0,1
ka59-38d34dbb,100,GAME_OVER,0,1
lf52-271a04aa,98,GAME_OVER,0,1
lp85-305b61c3,673,GAME_OVER,0,1
ls20-9607627b,136,GAME_OVER,0,1
m0r0-492f87ba,151,GAME_OVER,0,1
r11l-495a7899,60,GAME_OVER,0,1
re86-8af5384d,100,GAME_OVER,0,1
s5i5-18d95033,50,GAME_OVER,0,1
sb26-7fbdac44,175,GAME_OVER,0,1
sc25-635fd71a,58,GAME_OVER,0,1
sk48-d8078629,290,GAME_OVER,0,1
sp80-589a99af,24,GAME_OVER,0,1
su15-1944f8ab,93,GAME_OVER,0,1
tn36-ef4dde99,61,GAME_OVER,0,1
tr87-cd924810,128,GAME_OVER,0,1
tu93-0768757b,50,GAME_OVER,0,1
vc33-5430563c,50,GAME_OVER,0,1
wa30-ee6fef47,200,GAME_OVER,0,1
