metric,value
rhae_environment_score,4.761904761904762
win_levels,6
levels_completed,1
actions_total,27
exploration_actions,7
plan_actions,20
model_calls,10
tokens_total,482377
hypotheses_proposed,9
hypotheses_certified,9
plans_executed,7
prediction_mismatches,9
simulation_steps_used,247011
level_1_official_baseline_actions,55
level_1_budget,275
level_1_actions_attributed,27
level_1_completed,1
level_1_rhae_level_score,115.0
level_2_official_baseline_actions,8
level_2_budget,40
level_2_actions_attributed,0
level_2_completed,0
level_2_rhae_level_score,0.0
level_3_official_baseline_actions,41
level_3_budget,205
level_3_actions_attributed,0
level_3_completed,0
level_3_rhae_level_score,0.0
level_4_official_baseline_actions,21
level_4_budget,105
level_4_actions_attributed,0
level_4_completed,0
level_4_rhae_level_score,0.0
level_5_official_baseline_actions,23
level_5_budget,115
level_5_actions_attributed,0
level_5_completed,0
level_5_rhae_level_score,0.0
level_6_official_baseline_actions,23
level_6_budget,115
level_6_actions_attributed,0
level_6_completed,0
level_6_rhae_level_score,0.0
